index,x,r,g,b,hex
97,0.37890625,0.48091902,0.79684144,0.94840890,#7bcbf2
98,0.38281250,0.49842273,0.80097659,0.94576917,#7fccf1
99,0.38671875,0.51558421,0.80509397,0.94311099,#83cdf0
100,0.39062500,0.53244167,0.80919437,0.94043440,#88cef0
101,0.39453125,0.54902793,0.81327863,0.93773944,#8ccfef
102,0.39843750,0.56537142,0.81734762,0.93502619,#90d0ee
103,0.40234375,0.58149702,0.82140228,0.93229478,#94d1ee
104,0.40625000,0.59742660,0.82544355,0.92954537,#98d2ed
105,0.41015625,0.61317960,0.82947247,0.92677817,#9cd4ec
106,0.41406250,0.62877340,0.83349013,0.92399346,#a0d5ec
107,0.41796875,0.64422363,0.83749771,0.92119156,#a4d6eb
108,0.42187500,0.65954446,0.84149644,0.91837290,#a8d7ea
109,0.42578125,0.67474885,0.84548772,0.91553798,#acd8e9
110,0.42968750,0.68984872,0.84947301,0.91268743,#b0d9e9
111,0.43359375,0.70485514,0.85345394,0.90982198,#b4dae8
112,0.43750000,0.71977846,0.85743233,0.90694254,#b8dbe7
113,0.44140625,0.73462848,0.86141017,0.90405021,#bbdce7
114,0.44531250,0.74941457,0.86538974,0.90114630,#bfdde6
115,0.44921875,0.76414582,0.86937359,0.89823243,#c3dee5
116,0.45312500,0.77883117,0.87336467,0.89531057,#c7dfe4
117,0.45703125,0.79347957,0.87736640,0.89238312,#cae0e4
118,0.46093750,0.80810017,0.88138283,0.88945311,#cee1e3
119,0.46484375,0.82270257,0.88541882,0.88652431,#d2e2e2
120,0.46875000,0.83729714,0.88948029,0.88360154,#d6e3e1
121,0.47265625,0.85189546,0.89357471,0.88069110,#d9e4e1
122,0.47656250,0.86651111,0.89771172,0.87780143,#dde5e0
123,0.48046875,0.88116078,0.90190432,0.87494419,#e1e6df
124,0.48437500,0.89586648,0.90617096,0.87213642,#e4e7de
125,0.48828125,0.91066002,0.91053992,0.86940478,#e8e8de
126,0.49218750,0.92559390,0.91506014,0.86679624,#ece9dd
127,0.49609375,0.94077821,0.91983768,0.86441401,#f0ebdc
128,0.50000000,0.95677082,0.92542294,0.86279966,#f4ecdc
129,0.50390625,0.95318503,0.91572039,0.85743164,#f3eadb
130,0.50781250,0.95041274,0.90685722,0.85288636,#f2e7d9
131,0.51171875,0.94790096,0.89828247,0.84862030,#f2e5d8
132,0.51562500,0.94554345,0.88988979,0.84452882,#f1e3d7
133,0.51953125,0.94329141,0.88163007,0.84056371,#f1e1d6
134,0.52343750,0.94111670,0.87347487,0.83669717,#f0dfd5
135,0.52734375,0.93900110,0.86540563,0.83291107,#efddd4
136,0.53125000,0.93693186,0.85740926,0.82919271,#efdbd3
137,0.53515625,0.93489955,0.84947602,0.82553269,#eed9d3
138,0.53906250,0.93289697,0.84159837,0.82192377,#eed7d2
139,0.54296875,0.93091842,0.83377030,0.81836021,#edd5d1
140,0.54687500,0.92895932,0.82598688,0.81483733,#edd3d0
141,0.55078125,0.92701586,0.81824401,0.81135130,#ecd1cf
142,0.55468750,0.92508489,0.81053818,0.80789885,#eccfce
143,0.55859375,0.92316372,0.80286640,0.80447722,#ebcdcd
144,0.56250000,0.92125004,0.79522602,0.80108401,#ebcbcc
145,0.56640625,0.91934186,0.78761474,0.79771716,#eac9cb
146,0.57031250,0.91743745,0.78003046,0.79437481,#eac7cb
147,0.57421875,0.91553527,0.77247133,0.79105536,#e9c5ca
148,0.57812500,0.91363398,0.76493565,0.78775734,#e9c3c9
149,0.58203125,0.91173236,0.75742186,0.78447947,#e8c1c8
150,0.58593750,0.90982933,0.74992854,0.78122057,#e8bfc7
151,0.58984375,0.90792394,0.74245435,0.77797957,#e8bdc6
152,0.59375000,0.90601530,0.73499805,0.77475550,#e7bbc6
153,0.59765625,0.90410262,0.72755847,0.77154748,#e7bac5
154,0.60156250,0.90218518,0.72013450,0.76835468,#e6b8c4
155,0.60546875,0.90026233,0.71272510,0.76517637,#e6b6c3
156,0.60937500,0.89833345,0.70532927,0.76201183,#e5b4c2
157,0.61328125,0.89639800,0.69794602,0.75886042,#e5b2c2
158,0.61718750,0.89445547,0.69057445,0.75572155,#e4b0c1
159,0.62109375,0.89250540,0.68321363,0.75259465,#e4aec0
160,0.62500000,0.89054734,0.67586269,0.74947920,#e3acbf
161,0.62890625,0.88858090,0.66852077,0.74637470,#e3aabe
162,0.63281250,0.88660570,0.66118702,0.74328071,#e2a9be
163,0.63671875,0.88462141,0.65386061,0.74019677,#e2a7bd
164,0.64062500,0.88215811,0.64685187,0.73688731,#e1a5bc
165,0.64453125,0.87723420,0.64148940,0.73235641,#e0a4bb
166,0.64843750,0.87232517,0.63614424,0.72784131,#dea2ba
167,0.65234375,0.86743067,0.63081602,0.72334166,#dda1b8
168,0.65625000,0.86255035,0.62550444,0.71885716,#dca0b7
169,0.66015625,0.85768391,0.62020918,0.71438750,#db9eb6
170,0.66406250,0.85283104,0.61492996,0.70993239,#d99db5
171,0.66796875,0.84799144,0.60966649,0.70549157,#d89bb4
172,0.67187500,0.84316485,0.60441851,0.70106477,#d79ab3
173,0.67578125,0.83835101,0.59918577,0.69665176,#d699b2
174,0.67968750,0.83354965,0.59396802,0.69225230,#d597b1
175,0.68359375,0.82876054,0.58876503,0.68786616,#d396af
176,0.68750000,0.82398346,0.58357659,0.68349314,#d295ae
177,0.69140625,0.81921818,0.57840246,0.67913302,#d193ad
178,0.69531250,0.81446449,0.57324246,0.67478562,#d092ac
179,0.69921875,0.80972219,0.56809638,0.67045075,#ce91ab
180,0.70312500,0.80499108,0.56296402,0.66612823,#cd90aa
181,0.70703125,0.80027098,0.55784522,0.66181788,#cc8ea9
182,0.71093750,0.79556171,0.55273978,0.65751955,#cb8da8
183,0.71484375,0.79086309,0.54764754,0.65323307,#ca8ca7
184,0.71875000,0.78617496,0.54256834,0.64895830,#c88aa5
185,0.72265625,0.78149715,0.53750200,0.64469509,#c789a4
186,0.72656250,0.77682952,0.53244838,0.64044329,#c688a3
187,0.73046875,0.77217190,0.52740732,0.63620278,#c586a2
188,0.73437500,0.76752416,0.52237867,0.63197341,#c485a1
189,0.73828125,0.76288616,0.51736229,0.62775508,#c384a0
190,0.74218750,0.75825775,0.51235804,0.62354765,#c1839f
191,0.74609375,0.75363881,0.50736578,0.61935101,#c0819e
192,0.75000000,0.74902921,0.50238538,0.61516504,#bf809d
193,0.75390625,0.74442883,0.49741671,0.61098964,#be7f9c
194,0.75781250,0.73983754,0.49245964,0.60682471,#bd7e9b
195,0.76171875,0.73525522,0.48751404,0.60267014,#bb7c9a
196,0.76562500,0.73068178,0.48257979,0.59852583,#ba7b99
197,0.76953125,0.72611709,0.47765676,0.59439168,#b97a98
198,0.77343750,0.72156105,0.47274484,0.59026762,#b87997
199,0.77734375,0.71701355,0.46784391,0.58615354,#b77795
200,0.78125000,0.71247450,0.46295386,0.58204936,#b67694
201,0.78515625,0.70794379,0.45807455,0.57795500,#b57593
202,0.78906250,0.70342132,0.45320589,0.57387038,#b37492
203,0.79296875,0.69890702,0.44834776,0.56979541,#b27291
204,0.79687500,0.69440077,0.44350004,0.56573003,#b17190
205,0.80078125,0.68990250,0.43866262,0.56167416,#b0708f
206,0.80468750,0.68541212,0.43383538,0.55762773,#af6f8e
207,0.80859375,0.68092953,0.42901823,0.55359066,#ae6d8d
208,0.81250000,0.67645467,0.42421104,0.54956289,#ac6c8c
209,0.81640625,0.67198744,0.41941370,0.54554437,#ab6b8b
210,0.82031250,0.66739666,0.41471036,0.54157123,#aa6a8a
211,0.82421875,0.66130972,0.41098545,0.53802282,#a96989
212,0.82812500,0.65523786,0.40726996,0.53448166,#a76888
213,0.83203125,0.64918105,0.40356382,0.53094769,#a66787
214,0.83593750,0.64313925,0.39986697,0.52742085,#a46686
215,0.83984375,0.63711245,0.39617937,0.52390107,#a26586
216,0.84375000,0.63110063,0.39250095,0.52038828,#a16485
217,0.84765625,0.62510375,0.38883166,0.51688244,#9f6384
218,0.85156250,0.61912180,0.38517146,0.51338347,#9e6283
219,0.85546875,0.61315477,0.38152030,0.50989133,#9c6182
220,0.85937500,0.60720265,0.37787811,0.50640595,#9b6081
221,0.86328125,0.60126541,0.37424487,0.50292727,#995f80
222,0.86718750,0.59534305,0.37062052,0.49945525,#985f7f
223,0.87109375,0.58943556,0.36700502,0.49598982,#965e7e
224,0.87500000,0.58354293,0.36339832,0.49253095,#955d7e
225,0.87890625,0.57766516,0.35980038,0.48907857,#935c7d
226,0.88281250,0.57180225,0.35621116,0.48563263,#925b7c
227,0.88671875,0.56595419,0.35263061,0.48219309,#905a7b
228,0.89062500,0.56012099,0.34905871,0.47875989,#8f597a
229,0.89453125,0.55430265,0.34549540,0.47533299,#8d5879
230,0.89843750,0.54849917,0.34194064,0.47191234,#8c5778
231,0.90234375,0.54271057,0.33839442,0.46849790,#8a5677
232,0.90625000,0.53693684,0.33485667,0.46508962,#895577
233,0.91015625,0.53117800,0.33132737,0.46168746,#875476
234,0.91406250,0.52543407,0.32780649,0.45829137,#865475
235,0.91796875,0.51970504,0.32429398,0.45490130,#855374
236,0.92187500,0.51399095,0.32078981,0.45151723,#835273
237,0.92578125,0.50829181,0.31729395,0.44813910,#825172
238,0.92968750,0.50260763,0.31380637,0.44476687,#805071
239,0.93359375,0.49693844,0.31032702,0.44140050,#7f4f71
240,0.93750000,0.49128426,0.30685589,0.43803997,#7d4e70
241,0.94140625,0.48564511,0.30339293,0.43468521,#7c4d6f
242,0.94531250,0.48002102,0.29993812,0.43133620,#7a4c6e
243,0.94921875,0.47441202,0.29649142,0.42799291,#794c6d
244,0.95312500,0.46881814,0.29305280,0.42465528,#784b6c
245,0.95703125,0.46323941,0.28962223,0.42132328,#764a6b
246,0.96093750,0.45767586,0.28619969,0.41799689,#75496b
247,0.96484375,0.45212753,0.28278513,0.41467605,#73486a
248,0.96875000,0.44659445,0.27937853,0.41136075,#724769
249,0.97265625,0.44107667,0.27597986,0.40805093,#704668
250,0.97656250,0.43557422,0.27258909,0.40474657,#6f4667
251,0.98046875,0.43008715,0.26920618,0.40144763,#6e4566
252,0.98437500,0.42461550,0.26583111,0.39815408,#6c4466
253,0.98828125,0.41915933,0.26246385,0.39486588,#6b4365
254,0.99218750,0.41371866,0.25910436,0.39158301,#694264
255,0.99609375,0.40829357,0.25575262,0.38830542,#684163
256,1.00000000,0.40288410,0.25240859,0.38503310,#674062
