index,x,r,g,b,hex
98,0.38281250,0.60190950,0.78337330,1.00000000,#99c8ff
99,0.38671875,0.61105770,0.78861070,1.00000000,#9cc9ff
100,0.39062500,0.62019490,0.79385733,1.00000000,#9ecaff
101,0.39453125,0.62932152,0.79911454,1.00000000,#a0ccff
102,0.39843750,0.63843770,0.80438378,1.00000000,#a3cdff
103,0.40234375,0.64754325,0.80966669,1.00000000,#a5ceff
104,0.40625000,0.65663757,0.81496508,1.00000000,#a7d0ff
105,0.41015625,0.66571955,0.82028105,1.00000000,#aad1ff
106,0.41406250,0.67478744,0.82561698,1.00000000,#acd3ff
107,0.41796875,0.68383862,0.83097566,1.00000000,#aed4ff
108,0.42187500,0.69286933,0.83636039,1.00000000,#b1d5ff
109,0.42578125,0.70187428,0.84177515,1.00000000,#b3d7ff
110,0.42968750,0.71084604,0.84722481,1.00000000,#b5d8ff
111,0.43359375,0.71977419,0.85271548,1.00000000,#b8d9ff
112,0.43750000,0.72864391,0.85825502,1.00000000,#badbff
113,0.44140625,0.73743391,0.86385378,1.00000000,#bcdcff
114,0.44531250,0.74611288,0.86952590,1.00000000,#bedeff
115,0.44921875,0.76127710,0.87452936,0.99173666,#c2dffd
116,0.45312500,0.77713462,0.87942220,0.98249495,#c6e0fb
117,0.45703125,0.79296386,0.88428630,0.97318782,#cae1f8
118,0.46093750,0.80877366,0.88912650,0.96381498,#cee3f6
119,0.46484375,0.82457334,0.89394836,0.95437672,#d2e4f3
120,0.46875000,0.84037301,0.89875856,0.94487414,#d6e5f1
121,0.47265625,0.85618401,0.90356525,0.93530956,#dae6ef
122,0.47656250,0.87201967,0.90837876,0.92568718,#dee8ec
123,0.48046875,0.88789650,0.91321274,0.91601415,#e2e9ea
124,0.48437500,0.90383632,0.91808632,0.90630266,#e6eae7
125,0.48828125,0.91987080,0.92302847,0.89657419,#ebebe5
126,0.49218750,0.93605238,0.92808886,0.88687014,#efede2
127,0.49609375,0.95249129,0.93337447,0.87728769,#f3eee0
128,0.50000000,0.96974671,0.93943796,0.86836222,#f7f0dd
129,0.50390625,0.96772142,0.93173045,0.84216219,#f7eed7
130,0.50781250,0.96653742,0.92479870,0.81663438,#f6ecd0
131,0.51171875,0.96563983,0.91809059,0.79121038,#f6eaca
132,0.51562500,0.96492152,0.91149966,0.76575990,#f6e8c3
133,0.51953125,0.96433291,0.90497677,0.74020603,#f6e7bd
134,0.52343750,0.96384514,0.89849346,0.71448817,#f6e5b6
135,0.52734375,0.96343926,0.89203118,0.68855033,#f6e3b0
136,0.53125000,0.96310177,0.88557682,0.66233547,#f6e2a9
137,0.53515625,0.96282256,0.87912063,0.63578176,#f6e0a2
138,0.53906250,0.96259371,0.87265504,0.60881925,#f5df9b
139,0.54296875,0.96240880,0.86617401,0.58136627,#f5dd94
140,0.54687500,0.96226253,0.85967259,0.55332488,#f5db8d
141,0.55078125,0.96215041,0.85314659,0.52457477,#f5da86
142,0.55468750,0.96206855,0.84659249,0.49496448,#f5d87e
143,0.55859375,0.96201357,0.84000719,0.46429826,#f5d676
144,0.56250000,0.96198245,0.83338799,0.43231533,#f5d56e
145,0.56640625,0.96197251,0.82673247,0.39865538,#f5d366
146,0.57031250,0.96198129,0.82003845,0.36279702,#f5d15d
147,0.57421875,0.96200658,0.81330395,0.32393833,#f5cf53
148,0.57812500,0.96204632,0.80652714,0.28073500,#f5ce48
149,0.58203125,0.96209860,0.79970634,0.23061508,#f5cc3b
150,0.58593750,0.96216166,0.79283994,0.16734662,#f5ca2b
151,0.58984375,0.96223382,0.78592646,0.06238754,#f5c810
152,0.59375000,0.95758608,0.78026385,0.00000000,#f4c700
153,0.59765625,0.95109714,0.77512520,0.00000000,#f3c600
154,0.60156250,0.94464901,0.77000337,0.00000000,#f1c400
155,0.60546875,0.93823957,0.76489824,0.00000000,#efc300
156,0.60937500,0.93186692,0.75980970,0.00000000,#eec200
157,0.61328125,0.92552936,0.75473760,0.00000000,#ecc000
158,0.61718750,0.91922535,0.74968179,0.00000000,#eabf00
159,0.62109375,0.91295351,0.74464212,0.00000000,#e9be00
160,0.62500000,0.90671255,0.73961841,0.00000000,#e7bd00
161,0.62890625,0.90050134,0.73461050,0.00000000,#e6bb00
162,0.63281250,0.89431880,0.72961821,0.00000000,#e4ba00
163,0.63671875,0.88816399,0.72464138,0.00000000,#e2b900
164,0.64062500,0.88254866,0.71942275,0.00000000,#e1b700
165,0.64453125,0.87961486,0.71288106,0.00000000,#e0b600
166,0.64843750,0.87664516,0.70637402,0.00000000,#e0b400
167,0.65234375,0.87363989,0.69990122,0.00000000,#dfb200
168,0.65625000,0.87059941,0.69346230,0.00000000,#deb100
169,0.66015625,0.86752409,0.68705691,0.00000000,#ddaf00
170,0.66406250,0.86441427,0.68068469,0.00000000,#dcae00
171,0.66796875,0.86127033,0.67434535,0.00000000,#dcac00
172,0.67187500,0.85809262,0.66803855,0.00000000,#dbaa00
173,0.67578125,0.85488151,0.66176403,0.00000000,#daa900
174,0.67968750,0.85163737,0.65552149,0.00000000,#d9a700
175,0.68359375,0.84836057,0.64931067,0.00000000,#d8a600
176,0.68750000,0.84505147,0.64313131,0.00000000,#d7a400
177,0.69140625,0.84171043,0.63698318,0.00000000,#d7a200
178,0.69531250,0.83833783,0.63086603,0.00000000,#d6a100
179,0.69921875,0.83493402,0.62477964,0.00000000,#d59f00
180,0.70312500,0.83149936,0.61872380,0.00000000,#d49e00
181,0.70703125,0.82803422,0.61269830,0.00000000,#d39c00
182,0.71093750,0.82453896,0.60670294,0.00000000,#d29b00
183,0.71484375,0.82101394,0.60073752,0.00000000,#d19900
184,0.71875000,0.81745951,0.59480187,0.00000000,#d09800
185,0.72265625,0.81387602,0.58889581,0.00000000,#d09600
186,0.72656250,0.81026383,0.58301916,0.00000000,#cf9500
187,0.73046875,0.80662328,0.57717177,0.00000000,#ce9300
188,0.73437500,0.80295473,0.57135346,0.00000000,#cd9200
189,0.73828125,0.79925851,0.56556410,0.00000000,#cc9000
190,0.74218750,0.79553498,0.55980353,0.00000000,#cb8f00
191,0.74609375,0.79178447,0.55407160,0.00000000,#ca8d00
192,0.75000000,0.78800732,0.54836819,0.00000000,#c98c00
193,0.75390625,0.78420387,0.54269315,0.00000000,#c88a00
194,0.75781250,0.78037444,0.53704636,0.00000000,#c78900
195,0.76171875,0.77651938,0.53142769,0.00000000,#c68800
196,0.76562500,0.77263900,0.52583703,0.00000000,#c58600
197,0.76953125,0.76873364,0.52027425,0.00000000,#c48500
198,0.77343750,0.76480363,0.51473925,0.00000000,#c38300
199,0.77734375,0.76084927,0.50923191,0.00000000,#c28200
200,0.78125000,0.75687089,0.50375213,0.00000000,#c18000
201,0.78515625,0.75286881,0.49829981,0.00000000,#c07f00
202,0.78906250,0.74884334,0.49287484,0.00000000,#bf7e00
203,0.79296875,0.74479480,0.48747713,0.00000000,#be7c00
204,0.79687500,0.74072349,0.48210660,0.00000000,#bd7b00
205,0.80078125,0.73662972,0.47676314,0.00000000,#bc7a00
206,0.80468750,0.73251380,0.47144667,0.00000000,#bb7800
207,0.80859375,0.72837603,0.46615711,0.00000000,#ba7700
208,0.81250000,0.72421672,0.46089437,0.00000000,#b97600
209,0.81640625,0.72003615,0.45565837,0.00000000,#b87400
210,0.82031250,0.71568471,0.45055164,0.00000000,#b67300
211,0.82421875,0.70960794,0.44664232,0.00000000,#b57200
212,0.82812500,0.70354661,0.44274285,0.00000000,#b37100
213,0.83203125,0.69750067,0.43885321,0.00000000,#b27000
214,0.83593750,0.69147006,0.43497336,0.00000000,#b06f00
215,0.83984375,0.68545473,0.43110325,0.00000000,#af6e00
216,0.84375000,0.67945464,0.42724287,0.00000000,#ad6d00
217,0.84765625,0.67346974,0.42339217,0.00000000,#ac6c00
218,0.85156250,0.66749997,0.41955113,0.00000000,#aa6b00
219,0.85546875,0.66154531,0.41571972,0.00000000,#a96a00
220,0.85937500,0.65560570,0.41189791,0.00000000,#a76900
221,0.86328125,0.64968112,0.40808568,0.00000000,#a66800
222,0.86718750,0.64377152,0.40428301,0.00000000,#a46700
223,0.87109375,0.63787688,0.40048986,0.00000000,#a36600
224,0.87500000,0.63199715,0.39670622,0.00000000,#a16500
225,0.87890625,0.62613232,0.39293207,0.00000000,#a06400
226,0.88281250,0.62028235,0.38916739,0.00000000,#9e6300
227,0.88671875,0.61444722,0.38541216,0.00000000,#9d6200
228,0.89062500,0.60862690,0.38166637,0.00000000,#9b6100
229,0.89453125,0.60282137,0.37792999,0.00000000,#9a6000
230,0.89843750,0.59703061,0.37420303,0.00000000,#985f00
231,0.90234375,0.59125461,0.37048545,0.00000000,#975e00
232,0.90625000,0.58549334,0.36677725,0.00000000,#955e00
233,0.91015625,0.57974679,0.36307843,0.00000000,#945d00
234,0.91406250,0.57401495,0.35938896,0.00000000,#925c00
235,0.91796875,0.56829780,0.35570884,0.00000000,#915b00
236,0.92187500,0.56259533,0.35203807,0.00000000,#8f5a00
237,0.92578125,0.55690755,0.34837663,0.00000000,#8e5900
238,0.92968750,0.55123443,0.34472452,0.00000000,#8d5800
239,0.93359375,0.54557598,0.34108174,0.00000000,#8b5700
240,0.93750000,0.53993218,0.33744828,0.00000000,#8a5600
241,0.94140625,0.53430305,0.33382414,0.00000000,#885500
242,0.94531250,0.52868857,0.33020932,0.00000000,#875400
243,0.94921875,0.52308876,0.32660382,0.00000000,#855300
244,0.95312500,0.51750360,0.32300763,0.00000000,#845200
