index,x,r,g,b,hex
100,0.39215686,0.16656506,0.39480942,0.73321168,#2a65bb
101,0.39607843,0.16619283,0.39752414,0.74026879,#2a65bd
102,0.40000000,0.16580287,0.40023917,0.74733749,#2a66bf
103,0.40392157,0.16539492,0.40295452,0.75441774,#2a67c0
104,0.40784314,0.16496873,0.40567022,0.76150949,#2a67c2
105,0.41176471,0.16452404,0.40838626,0.76861268,#2a68c4
106,0.41568627,0.16406056,0.41110266,0.77572726,#2a69c6
107,0.41960784,0.16357802,0.41381944,0.78285320,#2a6ac8
108,0.42352941,0.16307613,0.41653660,0.78999043,#2a6ac9
109,0.42745098,0.16255457,0.41925415,0.79713892,#296bcb
110,0.43137255,0.16201304,0.42197211,0.80429862,#296ccd
111,0.43529412,0.16145120,0.42469048,0.81146947,#296ccf
112,0.43921569,0.16086872,0.42740928,0.81865144,#296dd1
113,0.44313725,0.16026524,0.43012851,0.82584447,#296ed3
114,0.44705882,0.15964041,0.43284818,0.83304853,#296ed4
115,0.45098039,0.15899383,0.43556831,0.84026356,#296fd6
116,0.45490196,0.15832511,0.43828890,0.84748953,#2870d8
117,0.45882353,0.15763384,0.44100996,0.85472638,#2870da
118,0.46274510,0.15691960,0.44373151,0.86197407,#2871dc
119,0.46666667,0.15618194,0.44645354,0.86923256,#2872de
120,0.47058824,0.15542039,0.44917608,0.87650180,#2873e0
121,0.47450980,0.15463447,0.45189912,0.88378176,#2773e1
122,0.47843137,0.15382367,0.45462267,0.89107239,#2774e3
123,0.48235294,0.15298747,0.45734675,0.89837364,#2775e5
124,0.48627451,0.15212532,0.46007136,0.90568548,#2775e7
125,0.49019608,0.15123665,0.46279651,0.91300785,#2776e9
126,0.49411765,0.15032084,0.46552221,0.92034073,#2677eb
127,0.49803922,0.14937727,0.46824846,0.92768407,#2677ed
128,0.50196078,0.14840528,0.47097528,0.93503782,#2678ee
129,0.50588235,0.14740417,0.47370266,0.94240195,#2679f0
130,0.50980392,0.14637322,0.47643062,0.94977642,#2579f2
131,0.51372549,0.14531167,0.47915916,0.95716119,#257af4
132,0.51764706,0.14421870,0.48188829,0.96455621,#257bf6
133,0.52156863,0.14309348,0.48461802,0.97196145,#247cf8
134,0.52549020,0.14193511,0.48734836,0.97937687,#247cfa
135,0.52941176,0.14074264,0.49007930,0.98680243,#247dfc
136,0.53333333,0.13951510,0.49281086,0.99423809,#247efe
137,0.53725490,0.14084136,0.49589408,1.00000000,#247eff
138,0.54117647,0.15074392,0.50016520,1.00000000,#2680ff
139,0.54509804,0.16024790,0.50441331,1.00000000,#2981ff
140,0.54901961,0.16941378,0.50863908,1.00000000,#2b82ff
