# Oritone scientific colormap: Oritone Canopy
# MIT licensed. Color direction references the Okabe & Ito color-blind-friendly palette.
# index R G B hex
228 252 206   0 #fcce00
229 253 207   0 #fdcf00
230 254 208   0 #fed000
231 255 209   7 #ffd107
232 255 210  32 #ffd220
233 255 211  46 #ffd32e
234 255 212  56 #ffd438
235 255 213  65 #ffd541
236 255 214  73 #ffd649
237 255 215  80 #ffd750
238 255 216  87 #ffd857
239 255 218  93 #ffda5d
240 255 219  99 #ffdb63
241 255 220 105 #ffdc69
242 255 221 111 #ffdd6f
243 255 222 116 #ffde74
244 255 223 122 #ffdf7a
245 255 224 128 #ffe080
246 254 225 134 #fee186
247 254 226 139 #fee28b
248 254 227 145 #fee391
249 254 228 150 #fee496
250 253 229 156 #fde59c
251 253 231 161 #fde7a1
252 253 232 166 #fde8a6
253 253 233 171 #fde9ab
254 252 234 176 #fceab0
255 252 235 181 #fcebb5
