# Oritone scientific colormap: Oritone Ember
# MIT licensed. Color direction references the Okabe & Ito color-blind-friendly palette.
# index R G B hex
231 250 213  88 #fad558
232 251 214  92 #fbd65c
233 251 215  96 #fbd760
234 251 216 100 #fbd864
235 252 217 104 #fcd968
236 252 218 108 #fcda6c
237 252 219 112 #fcdb70
238 253 221 116 #fddd74
239 253 222 119 #fdde77
240 253 223 123 #fddf7b
241 254 224 127 #fee07f
242 254 225 130 #fee182
243 254 226 133 #fee285
244 255 227 137 #ffe389
245 255 228 141 #ffe48d
246 255 229 145 #ffe591
247 255 230 150 #ffe696
248 255 231 154 #ffe79a
249 255 232 159 #ffe89f
250 255 233 163 #ffe9a3
251 255 234 167 #ffeaa7
252 255 235 172 #ffebac
253 255 236 176 #ffecb0
254 255 237 180 #ffedb4
255 255 238 184 #ffeeb8
