# Oritone scientific colormap: Oritone Balance
# MIT licensed. Color direction references the Okabe & Ito color-blind-friendly palette.
# index R G B hex
211 169 105 137 #a96989
212 167 104 136 #a76888
213 166 103 135 #a66787
214 164 102 134 #a46686
215 162 101 134 #a26586
216 161 100 133 #a16485
217 159  99 132 #9f6384
218 158  98 131 #9e6283
219 156  97 130 #9c6182
220 155  96 129 #9b6081
221 153  95 128 #995f80
222 152  95 127 #985f7f
223 150  94 126 #965e7e
224 149  93 126 #955d7e
225 147  92 125 #935c7d
226 146  91 124 #925b7c
227 144  90 123 #905a7b
228 143  89 122 #8f597a
229 141  88 121 #8d5879
230 140  87 120 #8c5778
231 138  86 119 #8a5677
232 137  85 119 #895577
233 135  84 118 #875476
234 134  84 117 #865475
235 133  83 116 #855374
236 131  82 115 #835273
237 130  81 114 #825172
238 128  80 113 #805071
239 127  79 113 #7f4f71
240 125  78 112 #7d4e70
241 124  77 111 #7c4d6f
242 122  76 110 #7a4c6e
243 121  76 109 #794c6d
244 120  75 108 #784b6c
245 118  74 107 #764a6b
246 117  73 107 #75496b
247 115  72 106 #73486a
248 114  71 105 #724769
249 112  70 104 #704668
250 111  70 103 #6f4667
251 110  69 102 #6e4566
252 108  68 102 #6c4466
253 107  67 101 #6b4365
254 105  66 100 #694264
255 104  65  99 #684163
256 103  64  98 #674062
