# Oritone scientific colormap: Oritone Delta
# MIT licensed. Color direction references the Okabe & Ito color-blind-friendly palette.
# index R G B hex
218 170 107   0 #aa6b00
219 169 106   0 #a96a00
220 167 105   0 #a76900
221 166 104   0 #a66800
222 164 103   0 #a46700
223 163 102   0 #a36600
224 161 101   0 #a16500
225 160 100   0 #a06400
226 158  99   0 #9e6300
227 157  98   0 #9d6200
228 155  97   0 #9b6100
229 154  96   0 #9a6000
230 152  95   0 #985f00
231 151  94   0 #975e00
232 149  94   0 #955e00
233 148  93   0 #945d00
234 146  92   0 #925c00
235 145  91   0 #915b00
236 143  90   0 #8f5a00
237 142  89   0 #8e5900
238 141  88   0 #8d5800
239 139  87   0 #8b5700
240 138  86   0 #8a5600
241 136  85   0 #885500
242 135  84   0 #875400
243 133  83   0 #855300
244 132  82   0 #845200
245 131  81   0 #835100
246 129  81   0 #815100
247 128  80   0 #805000
248 126  79   0 #7e4f00
249 125  78   0 #7d4e00
250 123  77   0 #7b4d00
251 122  76   0 #7a4c00
252 121  75   0 #794b00
253 119  74   0 #774a00
254 118  73   0 #764900
255 117  72   0 #754800
256 115  72   0 #734800
