# Oritone scientific colormap: Oritone Fusion
# MIT licensed. Color direction references the Okabe & Ito color-blind-friendly palette.
# index R G B hex
225 255 199  63 #ffc73f
226 255 200  68 #ffc844
227 255 202  73 #ffca49
228 255 203  77 #ffcb4d
229 255 204  82 #ffcc52
230 255 205  86 #ffcd56
231 255 206  90 #ffce5a
232 255 208  94 #ffd05e
233 255 209  98 #ffd162
234 255 210 102 #ffd266
235 255 211 105 #ffd369
236 255 212 109 #ffd46d
237 255 214 112 #ffd670
238 255 215 116 #ffd774
239 255 216 119 #ffd877
240 255 217 122 #ffd97a
241 255 218 126 #ffda7e
242 255 220 129 #ffdc81
243 255 221 132 #ffdd84
244 255 222 135 #ffde87
245 255 223 138 #ffdf8a
246 255 224 141 #ffe08d
247 255 225 144 #ffe190
248 255 227 148 #ffe394
249 255 228 151 #ffe497
250 255 229 154 #ffe59a
251 255 230 157 #ffe69d
252 255 231 160 #ffe7a0
253 255 232 163 #ffe8a3
254 255 233 166 #ffe9a6
255 255 235 169 #ffeba9
